,vid,HG03453,HG01891,HG02559,HG01978,HG00673,HG00741,HG02486,HG00735,HG01258,HG01106,HG03516,HG03579,HG01123,HG03540,HG02622,HG02717,HG01928,HG01952,HG02572,HG02148,HG01358,HG02886,HG00438,HG01175,HG02630,HG00621,HG01361,HG02257
407113,407113.0,43.0,52.0,34.0,39.0,52.0,46.0,34.0,48.0,39.0,46.0,33.0,48.0,34.0,53.0,62.0,54.0,35.0,40.0,30.0,32.0,50.0,42.0,52.0,45.0,36.0,45.0,39.0,48.0
407128,407128.0,49.0,33.0,47.0,47.0,40.0,42.0,48.0,55.0,39.0,25.0,38.0,50.0,31.0,51.0,43.0,51.0,30.0,40.0,43.0,37.0,43.0,43.0,34.0,32.0,36.0,30.0,39.0,39.0
407143,407143.0,42.0,33.0,34.0,44.0,51.0,51.0,49.0,37.0,24.0,40.0,32.0,32.0,49.0,47.0,48.0,46.0,41.0,44.0,30.0,43.0,52.0,38.0,37.0,42.0,36.0,35.0,44.0,46.0
407191,407191.0,40.0,47.0,27.0,25.0,38.0,33.0,36.0,42.0,35.0,50.0,35.0,38.0,38.0,67.0,34.0,42.0,31.0,37.0,26.0,44.0,31.0,39.0,32.0,28.0,43.0,38.0,34.0,27.0
407260,407260.0,19.0,37.0,43.0,14.0,19.0,23.0,32.0,22.0,30.0,18.0,27.0,9.0,31.0,24.0,34.0,26.0,20.0,22.0,26.0,27.0,25.0,16.0,24.0,13.0,24.0,24.0,37.0,28.0
407316,407316.0,40.0,34.0,27.0,20.0,28.0,16.0,25.0,32.0,22.0,21.0,35.0,30.0,32.0,49.0,41.0,33.0,21.0,37.0,31.0,31.0,34.0,30.0,28.0,24.0,41.0,26.0,32.0,29.0
407379,407379.0,36.0,26.0,39.0,21.0,29.0,20.0,34.0,30.0,22.0,34.0,39.0,57.0,30.0,50.0,49.0,47.0,34.0,31.0,12.0,31.0,22.0,40.0,31.0,38.0,52.0,34.0,32.0,33.0
407381,407381.0,35.0,29.0,38.0,21.0,29.0,20.0,34.0,29.0,23.0,32.0,39.0,57.0,30.0,51.0,50.0,47.0,35.0,33.0,13.0,30.0,22.0,38.0,33.0,41.0,53.0,32.0,29.0,33.0
407407,407407.0,43.0,42.0,36.0,20.0,40.0,26.0,36.0,31.0,18.0,52.0,38.0,39.0,29.0,51.0,43.0,40.0,15.0,22.0,26.0,28.0,31.0,33.0,29.0,27.0,42.0,35.0,21.0,29.0
407450,407450.0,33.0,34.0,32.0,24.0,31.0,27.0,32.0,29.0,22.0,37.0,30.0,42.0,33.0,51.0,42.0,50.0,31.0,41.0,18.0,29.0,31.0,37.0,37.0,30.0,37.0,48.0,20.0,27.0
407502,407502.0,49.0,35.0,31.0,35.0,37.0,21.0,30.0,27.0,24.0,23.0,34.0,51.0,30.0,39.0,40.0,32.0,23.0,35.0,18.0,29.0,29.0,32.0,24.0,28.0,64.0,37.0,36.0,31.0
407508,407508.0,45.0,36.0,30.0,39.0,41.0,25.0,32.0,30.0,22.0,23.0,31.0,51.0,25.0,34.0,39.0,34.0,22.0,24.0,20.0,31.0,29.0,29.0,23.0,36.0,64.0,35.0,32.0,29.0
407512,407512.0,48.0,38.0,33.0,46.0,54.0,24.0,43.0,31.0,24.0,33.0,28.0,50.0,27.0,40.0,48.0,46.0,27.0,29.0,31.0,37.0,35.0,29.0,30.0,30.0,65.0,46.0,36.0,32.0
407526,407526.0,42.0,31.0,36.0,27.0,36.0,32.0,30.0,27.0,23.0,37.0,29.0,41.0,27.0,46.0,54.0,41.0,26.0,23.0,24.0,22.0,37.0,30.0,28.0,30.0,55.0,27.0,42.0,30.0
407554,407554.0,41.0,28.0,35.0,20.0,36.0,21.0,36.0,38.0,23.0,40.0,23.0,25.0,34.0,47.0,41.0,36.0,22.0,30.0,16.0,32.0,14.0,39.0,23.0,33.0,38.0,28.0,17.0,22.0
407555,407555.0,41.0,28.0,35.0,20.0,36.0,21.0,36.0,38.0,23.0,40.0,23.0,25.0,34.0,46.0,41.0,36.0,22.0,30.0,16.0,32.0,14.0,38.0,23.0,33.0,38.0,28.0,17.0,22.0
407556,407556.0,41.0,28.0,35.0,20.0,35.0,21.0,35.0,38.0,23.0,40.0,23.0,25.0,34.0,46.0,41.0,36.0,22.0,30.0,16.0,31.0,14.0,38.0,23.0,33.0,38.0,28.0,17.0,22.0
407633,407633.0,37.0,38.0,27.0,24.0,35.0,17.0,23.0,27.0,17.0,22.0,22.0,30.0,25.0,42.0,42.0,37.0,16.0,38.0,21.0,27.0,31.0,37.0,20.0,34.0,39.0,48.0,25.0,33.0
407703,407703.0,51.0,33.0,36.0,33.0,35.0,37.0,35.0,31.0,27.0,43.0,36.0,39.0,42.0,49.0,52.0,34.0,32.0,38.0,14.0,52.0,29.0,36.0,40.0,35.0,58.0,32.0,39.0,33.0
407704,407704.0,52.0,31.0,38.0,32.0,35.0,38.0,32.0,29.0,25.0,41.0,38.0,41.0,44.0,47.0,49.0,37.0,33.0,39.0,16.0,51.0,30.0,39.0,39.0,33.0,55.0,30.0,39.0,32.0
407753,407753.0,44.0,38.0,39.0,29.0,43.0,25.0,40.0,33.0,19.0,25.0,28.0,47.0,21.0,53.0,46.0,35.0,21.0,28.0,37.0,31.0,42.0,21.0,26.0,28.0,52.0,34.0,27.0,33.0
407825,407825.0,42.0,24.0,26.0,26.0,42.0,20.0,36.0,34.0,26.0,27.0,29.0,35.0,24.0,55.0,50.0,32.0,27.0,33.0,20.0,38.0,26.0,33.0,31.0,30.0,45.0,40.0,42.0,36.0
407836,407836.0,46.0,36.0,33.0,20.0,39.0,31.0,29.0,27.0,31.0,25.0,43.0,61.0,33.0,56.0,42.0,32.0,29.0,39.0,23.0,32.0,39.0,29.0,41.0,42.0,44.0,27.0,36.0,34.0
407837,407837.0,46.0,36.0,33.0,20.0,39.0,31.0,29.0,27.0,31.0,25.0,43.0,61.0,33.0,56.0,42.0,32.0,29.0,39.0,23.0,32.0,39.0,29.0,41.0,42.0,44.0,27.0,36.0,34.0
407900,407900.0,46.0,42.0,44.0,25.0,45.0,22.0,32.0,33.0,27.0,39.0,40.0,48.0,34.0,45.0,48.0,45.0,28.0,36.0,18.0,46.0,28.0,40.0,26.0,33.0,43.0,40.0,38.0,26.0
407955,407955.0,34.0,26.0,44.0,29.0,34.0,29.0,31.0,42.0,38.0,37.0,31.0,45.0,35.0,48.0,45.0,39.0,29.0,32.0,30.0,45.0,33.0,47.0,23.0,30.0,34.0,37.0,44.0,26.0
407956,407956.0,34.0,26.0,44.0,29.0,34.0,29.0,31.0,42.0,38.0,37.0,31.0,45.0,35.0,48.0,45.0,39.0,29.0,32.0,30.0,45.0,33.0,47.0,23.0,30.0,34.0,37.0,44.0,26.0
407957,407957.0,32.0,27.0,41.0,31.0,34.0,30.0,30.0,44.0,38.0,38.0,30.0,47.0,33.0,54.0,46.0,37.0,30.0,31.0,29.0,45.0,33.0,48.0,25.0,30.0,37.0,41.0,45.0,26.0
408100,408100.0,45.0,40.0,38.0,28.0,43.0,22.0,36.0,29.0,28.0,37.0,34.0,62.0,28.0,45.0,65.0,53.0,33.0,38.0,34.0,44.0,43.0,32.0,50.0,32.0,45.0,28.0,32.0,40.0
408129,408129.0,48.0,26.0,39.0,22.0,39.0,27.0,22.0,28.0,19.0,25.0,25.0,27.0,19.0,52.0,36.0,47.0,27.0,35.0,21.0,25.0,26.0,28.0,32.0,31.0,36.0,36.0,27.0,16.0
408130,408130.0,48.0,26.0,39.0,21.0,39.0,27.0,21.0,28.0,19.0,24.0,25.0,27.0,20.0,51.0,36.0,46.0,25.0,35.0,21.0,25.0,26.0,28.0,32.0,31.0,35.0,35.0,26.0,16.0
408131,408131.0,48.0,26.0,39.0,21.0,39.0,27.0,21.0,28.0,19.0,24.0,25.0,27.0,20.0,51.0,36.0,46.0,25.0,35.0,21.0,25.0,26.0,28.0,32.0,31.0,35.0,36.0,26.0,16.0
408160,408160.0,49.0,31.0,27.0,35.0,31.0,24.0,32.0,33.0,27.0,26.0,32.0,35.0,30.0,38.0,38.0,44.0,26.0,36.0,19.0,43.0,24.0,24.0,22.0,23.0,45.0,41.0,16.0,41.0
408168,408168.0,31.0,33.0,25.0,26.0,38.0,13.0,33.0,35.0,23.0,32.0,29.0,39.0,34.0,40.0,25.0,31.0,31.0,31.0,13.0,28.0,26.0,31.0,23.0,28.0,32.0,29.0,31.0,30.0
408224,408224.0,38.0,33.0,30.0,28.0,27.0,19.0,32.0,46.0,30.0,36.0,34.0,27.0,26.0,49.0,33.0,31.0,20.0,27.0,30.0,36.0,23.0,44.0,29.0,26.0,26.0,30.0,29.0,29.0
408229,408229.0,37.0,39.0,27.0,27.0,47.0,34.0,40.0,38.0,30.0,31.0,24.0,24.0,28.0,50.0,32.0,43.0,22.0,40.0,15.0,27.0,23.0,38.0,33.0,34.0,43.0,34.0,25.0,35.0
408242,408242.0,47.0,37.0,34.0,25.0,41.0,31.0,33.0,26.0,18.0,30.0,22.0,33.0,22.0,51.0,40.0,42.0,24.0,43.0,15.0,24.0,35.0,25.0,33.0,27.0,52.0,35.0,32.0,35.0
408245,408245.0,48.0,35.0,34.0,25.0,41.0,32.0,34.0,25.0,18.0,30.0,22.0,32.0,22.0,52.0,40.0,42.0,24.0,44.0,16.0,25.0,35.0,26.0,33.0,27.0,52.0,35.0,32.0,37.0
408438,408438.0,40.0,40.0,40.0,24.0,49.0,27.0,23.0,41.0,19.0,29.0,34.0,48.0,26.0,45.0,59.0,45.0,25.0,28.0,26.0,27.0,45.0,40.0,36.0,36.0,52.0,38.0,36.0,33.0
408448,408448.0,47.0,42.0,35.0,30.0,40.0,25.0,30.0,35.0,38.0,28.0,38.0,50.0,23.0,67.0,57.0,41.0,25.0,31.0,17.0,32.0,38.0,49.0,38.0,34.0,49.0,40.0,33.0,48.0
408450,408450.0,47.0,40.0,35.0,30.0,39.0,25.0,31.0,36.0,38.0,28.0,39.0,51.0,23.0,66.0,55.0,41.0,24.0,32.0,17.0,31.0,39.0,48.0,39.0,34.0,48.0,41.0,34.0,49.0
408458,408458.0,48.0,42.0,34.0,43.0,52.0,25.0,36.0,37.0,39.0,33.0,40.0,37.0,31.0,55.0,47.0,50.0,32.0,34.0,39.0,34.0,35.0,35.0,39.0,39.0,50.0,42.0,30.0,33.0
408556,408556.0,41.0,33.0,29.0,21.0,52.0,32.0,33.0,25.0,23.0,35.0,34.0,42.0,26.0,49.0,50.0,42.0,26.0,26.0,24.0,38.0,27.0,38.0,25.0,29.0,54.0,31.0,32.0,31.0
408559,408559.0,36.0,38.0,28.0,21.0,45.0,31.0,31.0,24.0,25.0,32.0,35.0,44.0,27.0,54.0,43.0,47.0,27.0,27.0,17.0,40.0,31.0,35.0,27.0,32.0,49.0,30.0,34.0,30.0
408645,408645.0,24.0,19.0,19.0,12.0,27.0,11.0,24.0,14.0,14.0,20.0,23.0,22.0,19.0,19.0,18.0,27.0,11.0,15.0,9.0,21.0,11.0,14.0,19.0,12.0,25.0,17.0,15.0,10.0
408646,408646.0,24.0,19.0,19.0,12.0,27.0,11.0,24.0,14.0,14.0,21.0,23.0,22.0,19.0,20.0,19.0,27.0,11.0,15.0,9.0,23.0,11.0,14.0,19.0,12.0,25.0,17.0,15.0,10.0
408647,408647.0,24.0,19.0,19.0,12.0,27.0,11.0,24.0,14.0,14.0,20.0,23.0,22.0,19.0,19.0,18.0,27.0,11.0,15.0,9.0,22.0,11.0,14.0,19.0,12.0,25.0,17.0,15.0,10.0
408648,408648.0,24.0,19.0,19.0,12.0,27.0,11.0,24.0,13.0,14.0,20.0,23.0,22.0,19.0,19.0,18.0,27.0,11.0,15.0,9.0,22.0,11.0,14.0,19.0,12.0,25.0,17.0,15.0,10.0
408649,408649.0,24.0,19.0,19.0,12.0,27.0,11.0,24.0,14.0,14.0,20.0,23.0,22.0,19.0,19.0,18.0,27.0,11.0,15.0,9.0,22.0,11.0,14.0,19.0,12.0,25.0,17.0,15.0,10.0
408686,408686.0,51.0,25.0,36.0,25.0,41.0,20.0,34.0,41.0,27.0,27.0,42.0,40.0,36.0,66.0,36.0,43.0,21.0,27.0,32.0,43.0,38.0,45.0,29.0,38.0,50.0,42.0,31.0,44.0
408805,408805.0,43.0,34.0,31.0,29.0,30.0,27.0,44.0,24.0,22.0,30.0,29.0,46.0,31.0,50.0,53.0,39.0,16.0,30.0,28.0,31.0,27.0,24.0,32.0,24.0,58.0,33.0,28.0,22.0
408816,408816.0,44.0,39.0,39.0,28.0,32.0,29.0,32.0,28.0,26.0,32.0,42.0,49.0,36.0,63.0,47.0,39.0,21.0,33.0,20.0,37.0,32.0,27.0,26.0,28.0,42.0,35.0,28.0,26.0
408849,408849.0,33.0,43.0,29.0,37.0,33.0,23.0,22.0,20.0,33.0,32.0,30.0,38.0,33.0,52.0,38.0,46.0,21.0,24.0,28.0,38.0,32.0,30.0,30.0,27.0,40.0,39.0,27.0,31.0
408859,408859.0,36.0,35.0,34.0,34.0,36.0,17.0,32.0,18.0,31.0,29.0,26.0,51.0,28.0,57.0,40.0,34.0,38.0,33.0,20.0,42.0,26.0,32.0,35.0,27.0,42.0,42.0,37.0,25.0
408863,408863.0,46.0,32.0,36.0,27.0,33.0,20.0,34.0,31.0,23.0,24.0,28.0,45.0,34.0,43.0,40.0,47.0,31.0,37.0,23.0,36.0,27.0,34.0,35.0,24.0,39.0,31.0,33.0,33.0
408889,408889.0,49.0,31.0,27.0,24.0,29.0,26.0,23.0,31.0,28.0,18.0,30.0,37.0,22.0,48.0,43.0,50.0,39.0,33.0,27.0,31.0,24.0,27.0,29.0,38.0,33.0,33.0,31.0,32.0
408890,408890.0,49.0,31.0,27.0,24.0,30.0,26.0,23.0,31.0,28.0,18.0,30.0,37.0,23.0,48.0,43.0,50.0,39.0,33.0,27.0,31.0,24.0,27.0,30.0,38.0,33.0,33.0,31.0,32.0
408891,408891.0,49.0,31.0,29.0,25.0,28.0,26.0,23.0,32.0,30.0,18.0,31.0,38.0,24.0,49.0,43.0,50.0,39.0,34.0,26.0,32.0,24.0,27.0,31.0,38.0,35.0,34.0,31.0,32.0
409060,409060.0,43.0,41.0,29.0,27.0,41.0,28.0,42.0,38.0,27.0,29.0,25.0,33.0,30.0,43.0,35.0,37.0,29.0,30.0,14.0,48.0,30.0,30.0,26.0,43.0,35.0,24.0,24.0,33.0
409097,409097.0,45.0,28.0,27.0,24.0,32.0,23.0,24.0,30.0,26.0,26.0,24.0,30.0,34.0,42.0,44.0,42.0,20.0,39.0,19.0,26.0,21.0,30.0,24.0,31.0,42.0,35.0,21.0,33.0
409102,409102.0,41.0,31.0,31.0,34.0,36.0,36.0,21.0,39.0,26.0,25.0,31.0,43.0,37.0,40.0,36.0,39.0,28.0,42.0,32.0,37.0,36.0,36.0,27.0,32.0,37.0,34.0,28.0,30.0
409126,409126.0,30.0,31.0,37.0,26.0,40.0,23.0,36.0,25.0,24.0,20.0,30.0,37.0,29.0,35.0,35.0,36.0,19.0,24.0,23.0,24.0,25.0,35.0,27.0,25.0,46.0,38.0,29.0,29.0
409127,409127.0,30.0,31.0,37.0,26.0,40.0,23.0,36.0,25.0,25.0,20.0,30.0,37.0,29.0,35.0,35.0,38.0,19.0,24.0,23.0,24.0,25.0,35.0,27.0,25.0,47.0,38.0,30.0,29.0
409132,409132.0,25.0,29.0,27.0,35.0,26.0,24.0,28.0,26.0,27.0,28.0,18.0,37.0,36.0,44.0,39.0,42.0,24.0,30.0,36.0,34.0,29.0,27.0,28.0,31.0,37.0,34.0,39.0,28.0
409146,409146.0,43.0,30.0,30.0,20.0,24.0,25.0,27.0,32.0,20.0,29.0,23.0,47.0,29.0,42.0,44.0,38.0,27.0,29.0,31.0,42.0,35.0,26.0,29.0,18.0,33.0,34.0,30.0,38.0
409177,409177.0,40.0,42.0,40.0,24.0,29.0,42.0,29.0,28.0,18.0,29.0,37.0,38.0,30.0,54.0,47.0,39.0,24.0,29.0,34.0,48.0,33.0,29.0,30.0,31.0,53.0,34.0,25.0,35.0
409179,409179.0,41.0,44.0,39.0,25.0,30.0,41.0,32.0,26.0,16.0,30.0,39.0,38.0,31.0,54.0,48.0,38.0,22.0,30.0,32.0,48.0,32.0,28.0,31.0,34.0,53.0,33.0,23.0,35.0
409234,409234.0,48.0,38.0,28.0,28.0,45.0,22.0,20.0,43.0,19.0,28.0,35.0,40.0,36.0,37.0,30.0,48.0,22.0,36.0,10.0,23.0,29.0,29.0,37.0,27.0,43.0,28.0,26.0,29.0
409276,409276.0,43.0,40.0,38.0,33.0,36.0,27.0,30.0,29.0,36.0,30.0,39.0,47.0,27.0,54.0,51.0,35.0,24.0,52.0,24.0,42.0,28.0,42.0,35.0,35.0,44.0,37.0,19.0,39.0
409277,409277.0,43.0,42.0,37.0,34.0,36.0,25.0,30.0,29.0,36.0,30.0,40.0,47.0,27.0,55.0,51.0,36.0,24.0,53.0,24.0,41.0,27.0,41.0,35.0,36.0,43.0,38.0,18.0,39.0
409278,409278.0,42.0,42.0,35.0,36.0,35.0,24.0,33.0,28.0,39.0,29.0,38.0,47.0,29.0,60.0,54.0,38.0,24.0,52.0,23.0,39.0,29.0,35.0,36.0,32.0,42.0,40.0,18.0,36.0
409288,409288.0,44.0,44.0,38.0,38.0,38.0,19.0,26.0,29.0,25.0,27.0,25.0,45.0,38.0,59.0,40.0,33.0,21.0,27.0,17.0,23.0,35.0,36.0,35.0,37.0,38.0,41.0,26.0,34.0
409290,409290.0,43.0,45.0,37.0,36.0,40.0,19.0,26.0,29.0,25.0,27.0,24.0,45.0,38.0,58.0,40.0,32.0,21.0,28.0,15.0,23.0,34.0,36.0,35.0,37.0,36.0,41.0,26.0,34.0
409296,409296.0,50.0,29.0,36.0,24.0,34.0,20.0,24.0,23.0,25.0,20.0,21.0,37.0,29.0,33.0,31.0,40.0,10.0,20.0,24.0,28.0,33.0,22.0,24.0,27.0,41.0,27.0,26.0,27.0
409301,409301.0,42.0,22.0,31.0,22.0,37.0,20.0,21.0,27.0,27.0,20.0,21.0,35.0,25.0,28.0,30.0,38.0,12.0,20.0,24.0,26.0,38.0,23.0,25.0,25.0,45.0,23.0,27.0,24.0
409309,409309.0,27.0,21.0,27.0,17.0,31.0,16.0,21.0,22.0,22.0,17.0,29.0,45.0,26.0,27.0,35.0,42.0,16.0,33.0,26.0,25.0,31.0,37.0,25.0,35.0,58.0,20.0,23.0,25.0
409315,409315.0,29.0,18.0,29.0,16.0,31.0,18.0,27.0,22.0,21.0,14.0,33.0,50.0,25.0,30.0,32.0,41.0,15.0,37.0,19.0,23.0,32.0,41.0,29.0,29.0,53.0,20.0,26.0,24.0
409316,409316.0,29.0,18.0,29.0,16.0,31.0,18.0,27.0,22.0,21.0,14.0,33.0,50.0,25.0,30.0,32.0,41.0,15.0,37.0,19.0,23.0,32.0,41.0,29.0,29.0,53.0,20.0,26.0,24.0
409408,409408.0,48.0,36.0,35.0,19.0,42.0,25.0,29.0,32.0,28.0,26.0,25.0,37.0,25.0,42.0,44.0,44.0,26.0,39.0,13.0,33.0,29.0,30.0,36.0,27.0,44.0,31.0,34.0,36.0
409411,409411.0,41.0,35.0,34.0,26.0,38.0,29.0,28.0,30.0,24.0,23.0,18.0,44.0,26.0,48.0,41.0,36.0,24.0,34.0,10.0,28.0,27.0,41.0,30.0,26.0,52.0,28.0,23.0,29.0
409422,409422.0,46.0,27.0,21.0,21.0,38.0,27.0,31.0,25.0,32.0,33.0,27.0,42.0,28.0,49.0,31.0,33.0,22.0,29.0,15.0,25.0,18.0,37.0,24.0,23.0,41.0,29.0,25.0,32.0
409450,409450.0,43.0,34.0,28.0,23.0,45.0,25.0,24.0,41.0,33.0,32.0,18.0,40.0,34.0,62.0,40.0,41.0,28.0,29.0,19.0,33.0,33.0,26.0,36.0,46.0,53.0,41.0,31.0,22.0
409451,409451.0,43.0,34.0,28.0,23.0,45.0,25.0,24.0,41.0,33.0,32.0,18.0,40.0,34.0,62.0,40.0,41.0,28.0,29.0,19.0,33.0,33.0,26.0,36.0,46.0,53.0,41.0,31.0,22.0
409471,409471.0,41.0,42.0,37.0,35.0,30.0,25.0,25.0,26.0,26.0,27.0,31.0,32.0,34.0,39.0,44.0,33.0,27.0,34.0,25.0,32.0,23.0,26.0,30.0,30.0,60.0,42.0,31.0,24.0
409472,409472.0,44.0,37.0,34.0,35.0,30.0,27.0,26.0,28.0,25.0,30.0,28.0,32.0,32.0,40.0,42.0,33.0,27.0,32.0,25.0,34.0,21.0,27.0,29.0,33.0,58.0,41.0,31.0,26.0
409485,409485.0,40.0,31.0,36.0,27.0,35.0,31.0,26.0,30.0,27.0,30.0,24.0,44.0,38.0,54.0,55.0,46.0,20.0,40.0,18.0,39.0,31.0,26.0,32.0,36.0,46.0,31.0,28.0,39.0
409487,409487.0,41.0,32.0,39.0,28.0,38.0,29.0,29.0,30.0,30.0,27.0,26.0,50.0,33.0,62.0,46.0,50.0,17.0,35.0,27.0,33.0,27.0,17.0,33.0,36.0,49.0,31.0,26.0,40.0
409548,409548.0,29.0,31.0,30.0,25.0,28.0,24.0,25.0,32.0,12.0,20.0,27.0,34.0,33.0,38.0,28.0,26.0,28.0,32.0,20.0,27.0,26.0,30.0,18.0,30.0,42.0,28.0,20.0,24.0
409550,409550.0,28.0,32.0,29.0,25.0,28.0,25.0,26.0,30.0,17.0,21.0,29.0,38.0,33.0,40.0,29.0,29.0,26.0,34.0,19.0,27.0,28.0,33.0,17.0,31.0,38.0,28.0,23.0,28.0
409551,409551.0,28.0,32.0,29.0,25.0,28.0,25.0,26.0,30.0,17.0,21.0,29.0,38.0,33.0,40.0,29.0,29.0,26.0,34.0,19.0,27.0,28.0,33.0,17.0,31.0,38.0,28.0,23.0,28.0
409552,409552.0,28.0,32.0,29.0,25.0,28.0,25.0,26.0,31.0,17.0,21.0,29.0,38.0,33.0,40.0,29.0,29.0,26.0,34.0,19.0,27.0,28.0,33.0,17.0,31.0,38.0,28.0,23.0,28.0
409673,409673.0,36.0,20.0,18.0,15.0,20.0,16.0,17.0,18.0,20.0,13.0,21.0,29.0,15.0,34.0,23.0,28.0,19.0,18.0,11.0,17.0,19.0,18.0,17.0,12.0,42.0,19.0,25.0,14.0
409683,409683.0,41.0,27.0,35.0,18.0,36.0,18.0,29.0,30.0,28.0,25.0,29.0,41.0,33.0,46.0,43.0,38.0,16.0,29.0,10.0,31.0,31.0,33.0,31.0,27.0,54.0,29.0,35.0,37.0
409686,409686.0,44.0,32.0,41.0,28.0,45.0,25.0,37.0,40.0,32.0,30.0,32.0,41.0,30.0,53.0,50.0,41.0,21.0,39.0,10.0,31.0,32.0,24.0,25.0,37.0,54.0,33.0,29.0,26.0
409687,409687.0,44.0,33.0,39.0,27.0,43.0,24.0,35.0,39.0,31.0,32.0,33.0,42.0,30.0,52.0,49.0,41.0,22.0,37.0,11.0,32.0,33.0,25.0,24.0,38.0,54.0,34.0,30.0,26.0
409692,409692.0,49.0,38.0,37.0,29.0,42.0,30.0,36.0,39.0,38.0,36.0,37.0,42.0,27.0,54.0,52.0,36.0,25.0,37.0,13.0,43.0,39.0,29.0,17.0,38.0,47.0,33.0,29.0,25.0
409694,409694.0,52.0,44.0,32.0,27.0,44.0,34.0,33.0,38.0,35.0,35.0,41.0,43.0,31.0,56.0,52.0,39.0,29.0,34.0,19.0,46.0,41.0,26.0,17.0,34.0,48.0,35.0,24.0,28.0
409695,409695.0,53.0,44.0,31.0,27.0,42.0,36.0,34.0,39.0,35.0,35.0,40.0,43.0,32.0,56.0,54.0,41.0,30.0,32.0,19.0,47.0,38.0,25.0,17.0,34.0,46.0,35.0,26.0,28.0
409734,409734.0,48.0,31.0,29.0,31.0,43.0,35.0,30.0,31.0,24.0,22.0,31.0,41.0,27.0,50.0,39.0,43.0,30.0,34.0,34.0,38.0,20.0,28.0,28.0,35.0,43.0,36.0,33.0,26.0
409857,409857.0,45.0,37.0,34.0,44.0,40.0,32.0,29.0,28.0,28.0,33.0,36.0,45.0,33.0,50.0,37.0,46.0,24.0,35.0,20.0,30.0,24.0,26.0,28.0,28.0,47.0,27.0,32.0,32.0
409859,409859.0,45.0,35.0,34.0,41.0,40.0,29.0,27.0,30.0,25.0,33.0,40.0,45.0,37.0,45.0,44.0,43.0,28.0,34.0,17.0,28.0,30.0,28.0,33.0,29.0,43.0,27.0,31.0,31.0
409860,409860.0,45.0,35.0,34.0,41.0,40.0,29.0,27.0,30.0,25.0,33.0,40.0,45.0,37.0,45.0,44.0,43.0,28.0,34.0,17.0,28.0,30.0,28.0,33.0,29.0,43.0,27.0,31.0,31.0
409861,409861.0,45.0,35.0,34.0,41.0,40.0,29.0,27.0,30.0,25.0,33.0,40.0,45.0,37.0,45.0,44.0,43.0,29.0,34.0,17.0,28.0,30.0,28.0,33.0,29.0,43.0,27.0,32.0,31.0
409871,409871.0,36.0,31.0,34.0,36.0,31.0,30.0,25.0,23.0,19.0,23.0,43.0,41.0,31.0,38.0,46.0,40.0,27.0,30.0,11.0,34.0,34.0,30.0,38.0,24.0,41.0,33.0,24.0,28.0
409913,409913.0,35.0,29.0,37.0,27.0,30.0,21.0,33.0,30.0,29.0,23.0,17.0,46.0,30.0,42.0,38.0,37.0,20.0,32.0,10.0,28.0,24.0,31.0,26.0,30.0,33.0,29.0,42.0,34.0
409914,409914.0,35.0,29.0,37.0,27.0,31.0,21.0,33.0,30.0,29.0,23.0,17.0,46.0,30.0,42.0,40.0,37.0,20.0,32.0,10.0,28.0,24.0,31.0,26.0,31.0,33.0,29.0,42.0,34.0
410026,410026.0,42.0,23.0,43.0,26.0,44.0,32.0,29.0,33.0,28.0,30.0,29.0,41.0,39.0,58.0,44.0,48.0,26.0,34.0,29.0,37.0,41.0,34.0,35.0,27.0,44.0,34.0,32.0,21.0
410051,410051.0,51.0,31.0,33.0,18.0,45.0,30.0,42.0,32.0,24.0,35.0,23.0,40.0,33.0,61.0,49.0,41.0,20.0,36.0,18.0,24.0,24.0,35.0,33.0,38.0,42.0,30.0,34.0,32.0
410057,410057.0,51.0,31.0,33.0,18.0,46.0,31.0,44.0,31.0,25.0,35.0,22.0,39.0,32.0,60.0,50.0,42.0,21.0,39.0,19.0,28.0,23.0,36.0,33.0,40.0,42.0,31.0,35.0,32.0
410058,410058.0,51.0,31.0,33.0,18.0,46.0,31.0,44.0,32.0,25.0,35.0,21.0,39.0,32.0,61.0,50.0,43.0,21.0,39.0,19.0,28.0,22.0,35.0,34.0,40.0,43.0,31.0,35.0,32.0
410062,410062.0,49.0,30.0,33.0,19.0,47.0,32.0,45.0,32.0,24.0,35.0,22.0,38.0,32.0,54.0,47.0,47.0,21.0,39.0,20.0,31.0,24.0,36.0,32.0,36.0,45.0,32.0,34.0,32.0
410073,410073.0,35.0,23.0,34.0,20.0,32.0,14.0,38.0,25.0,23.0,18.0,30.0,36.0,32.0,48.0,38.0,32.0,31.0,31.0,18.0,34.0,30.0,31.0,28.0,35.0,38.0,31.0,20.0,30.0
410074,410074.0,35.0,23.0,34.0,20.0,32.0,14.0,38.0,25.0,23.0,18.0,30.0,36.0,32.0,48.0,38.0,32.0,31.0,31.0,18.0,34.0,30.0,31.0,28.0,35.0,38.0,31.0,20.0,30.0
410075,410075.0,35.0,23.0,34.0,20.0,32.0,14.0,38.0,25.0,23.0,18.0,30.0,36.0,32.0,48.0,38.0,32.0,31.0,31.0,18.0,34.0,30.0,31.0,28.0,35.0,38.0,31.0,19.0,30.0
410121,410121.0,49.0,47.0,41.0,30.0,37.0,31.0,31.0,31.0,23.0,35.0,43.0,30.0,32.0,60.0,46.0,39.0,29.0,34.0,21.0,36.0,34.0,24.0,24.0,35.0,46.0,33.0,30.0,37.0
