,vid,HG03453,HG01891,HG02559,HG01978,HG00673,HG00741,HG02486,HG00735,HG01258,HG01106,HG03516,HG03579,HG01123,HG03540,HG02622,HG02717,HG01928,HG01952,HG02572,HG02148,HG01358,HG02886,HG00438,HG01175,HG02630,HG00621,HG01361,HG02257
51474,51474.0,49.0,37.0,42.0,43.0,49.0,42.0,47.0,40.0,37.0,48.0,34.0,34.0,43.0,41.0,34.0,37.0,44.0,43.0,35.0,44.0,38.0,31.0,46.0,37.0,40.0,34.0,45.0,44.0
51479,51479.0,52.0,45.0,43.0,43.0,52.0,40.0,35.0,41.0,45.0,34.0,40.0,31.0,36.0,54.0,41.0,47.0,40.0,51.0,38.0,39.0,45.0,33.0,39.0,39.0,45.0,46.0,50.0,34.0
51481,51481.0,52.0,45.0,43.0,43.0,52.0,40.0,35.0,41.0,45.0,34.0,40.0,31.0,36.0,54.0,41.0,47.0,40.0,51.0,38.0,39.0,45.0,33.0,39.0,39.0,45.0,46.0,50.0,34.0
51492,51492.0,49.0,28.0,58.0,33.0,48.0,46.0,38.0,38.0,37.0,39.0,37.0,28.0,47.0,42.0,41.0,53.0,42.0,47.0,27.0,35.0,34.0,39.0,49.0,40.0,33.0,49.0,34.0,43.0
51514,51514.0,48.0,39.0,40.0,35.0,47.0,34.0,43.0,49.0,34.0,30.0,37.0,32.0,42.0,50.0,64.0,52.0,47.0,55.0,29.0,40.0,36.0,20.0,44.0,34.0,44.0,42.0,30.0,29.0
51515,51515.0,48.0,39.0,39.0,35.0,47.0,34.0,43.0,49.0,34.0,30.0,36.0,32.0,42.0,50.0,64.0,52.0,47.0,55.0,29.0,40.0,36.0,20.0,44.0,34.0,44.0,42.0,30.0,29.0
51517,51517.0,48.0,39.0,40.0,35.0,47.0,34.0,43.0,49.0,34.0,30.0,37.0,32.0,42.0,50.0,64.0,52.0,47.0,55.0,29.0,40.0,36.0,21.0,44.0,34.0,44.0,42.0,30.0,29.0
51622,51622.0,46.0,40.0,55.0,32.0,44.0,52.0,35.0,33.0,33.0,39.0,45.0,47.0,46.0,59.0,50.0,53.0,42.0,42.0,42.0,42.0,50.0,33.0,42.0,32.0,50.0,43.0,30.0,44.0
51998,51998.0,38.0,42.0,54.0,41.0,57.0,39.0,38.0,51.0,42.0,47.0,43.0,46.0,37.0,51.0,48.0,43.0,46.0,46.0,35.0,41.0,48.0,43.0,40.0,49.0,34.0,38.0,54.0,41.0
52120,52120.0,37.0,50.0,44.0,36.0,36.0,47.0,49.0,27.0,43.0,43.0,36.0,48.0,47.0,62.0,62.0,44.0,43.0,44.0,20.0,39.0,30.0,40.0,41.0,40.0,56.0,46.0,47.0,31.0
52264,52264.0,50.0,41.0,53.0,55.0,52.0,49.0,44.0,51.0,36.0,32.0,44.0,47.0,40.0,55.0,44.0,44.0,40.0,43.0,12.0,43.0,30.0,26.0,42.0,40.0,41.0,43.0,55.0,32.0
52919,52919.0,34.0,31.0,46.0,32.0,35.0,33.0,42.0,46.0,42.0,57.0,28.0,34.0,41.0,47.0,45.0,57.0,39.0,33.0,30.0,43.0,29.0,40.0,44.0,35.0,43.0,42.0,44.0,32.0
53206,53206.0,50.0,63.0,45.0,32.0,33.0,28.0,47.0,37.0,19.0,28.0,36.0,34.0,31.0,58.0,46.0,42.0,24.0,36.0,38.0,38.0,40.0,31.0,50.0,36.0,44.0,25.0,49.0,36.0
53363,53363.0,45.0,40.0,49.0,47.0,46.0,33.0,46.0,49.0,36.0,45.0,49.0,43.0,47.0,44.0,53.0,43.0,44.0,47.0,36.0,51.0,43.0,33.0,64.0,47.0,41.0,43.0,35.0,38.0
53435,53435.0,51.0,49.0,38.0,36.0,49.0,51.0,57.0,30.0,27.0,33.0,45.0,43.0,47.0,53.0,47.0,45.0,34.0,34.0,28.0,42.0,40.0,31.0,39.0,28.0,36.0,48.0,64.0,37.0
53447,53447.0,31.0,35.0,33.0,36.0,39.0,46.0,35.0,44.0,20.0,35.0,41.0,38.0,32.0,39.0,23.0,40.0,34.0,28.0,32.0,36.0,28.0,32.0,39.0,34.0,25.0,35.0,31.0,31.0
53546,53546.0,56.0,33.0,50.0,27.0,37.0,37.0,43.0,34.0,39.0,33.0,31.0,39.0,31.0,52.0,49.0,41.0,37.0,39.0,38.0,34.0,34.0,26.0,43.0,30.0,45.0,24.0,39.0,33.0
53954,53954.0,53.0,37.0,47.0,50.0,38.0,31.0,44.0,37.0,37.0,53.0,41.0,64.0,55.0,46.0,48.0,56.0,25.0,40.0,22.0,43.0,38.0,45.0,43.0,39.0,56.0,47.0,59.0,46.0
54318,54318.0,45.0,40.0,42.0,28.0,41.0,41.0,44.0,45.0,34.0,45.0,32.0,45.0,38.0,41.0,46.0,38.0,49.0,46.0,30.0,38.0,36.0,35.0,43.0,44.0,39.0,40.0,41.0,40.0
